annot_id,PAD#,Camera,"Lighting (lightbox, benchtop, benchtop dark)",black/white background,API,Sample,mg concentration (w/w mg/mg or w/v mg/mL),% Conc,missing_card
1.0,81560,nokia,benchtop,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False
2.0,81560,nokia,lightbox,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False
3.0,81560,nokia,no light,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False
4.0,80903,nokia,benchtop,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False
5.0,80903,nokia,lightbox,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False
6.0,80903,nokia,no light,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False
7.0,81560,ipad,benchtop,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False
8.0,81560,ipad,lightbox,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False
9.0,81560,ipad,no light,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False
10.0,80903,ipad,benchtop,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False
11.0,80903,ipad,lightbox,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False
12.0,80903,ipad,no light,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False
13.0,81260,nokia,benchtop,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False
14.0,81260,nokia,lightbox,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False
15.0,81260,nokia,no light,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False
16.0,80902,nokia,benchtop,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False
17.0,80902,nokia,lightbox,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False
18.0,80902,nokia,no light,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False
19.0,81260,ipad,benchtop,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False
