annot_id,PAD#,Camera,"Lighting (lightbox, benchtop, benchtop dark)",black/white background,API,Sample,mg concentration (w/w mg/mg or w/v mg/mL),% Conc,missing_card,matched_id,matched_sample_id,matched_sample_name,matched_quantity,matched_camera_type_1,matched_deleted,matched_date_of_creation,matched_url,notes
1,81560,nokia,benchtop,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False,,,,,,,,,
2,81560,nokia,lightbox,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False,,,,,,,,,
3,81560,nokia,no light,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False,,,,,,,,,
4,80903,nokia,benchtop,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False,,,,,,,,,
5,80903,nokia,lightbox,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False,,,,,,,,,
6,80903,nokia,no light,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False,,,,,,,,,
7,81560,ipad,benchtop,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False,,,,,,,,,
8,81560,ipad,lightbox,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False,,,,,,,,,
9,81560,ipad,no light,white,Hydroxyurea (oral),100 h1 1,0.8416982064,84.2,False,,,,,,,,,
10,80903,ipad,benchtop,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False,,,,,,,,,
11,80903,ipad,lightbox,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False,,,,,,,,,
12,80903,ipad,no light,white,Hydroxyurea (oral),100 h2 1,0.8033057851,80.3,False,,,,,,,,,
13,81260,nokia,benchtop,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False,,,,,,,,,
14,81260,nokia,lightbox,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False,,,,,,,,,
15,81260,nokia,no light,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False,,,,,,,,,
16,80902,nokia,benchtop,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False,,,,,,,,,
17,80902,nokia,lightbox,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False,,,,,,,,,
18,80902,nokia,no light,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False,,,,,,,,,
19,81260,ipad,benchtop,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False,,,,,,,,,
20,81260,ipad,lightbox,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False,,,,,,,,,
21,81260,ipad,no light,white,Hydroxyurea (oral),100 h1 2,0.8416982064,84.2,False,,,,,,,,,
22,80902,ipad,benchtop,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False,,,,,,,,,
23,80902,ipad,lightbox,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False,,,,,,,,,
24,80902,ipad,no light,white,Hydroxyurea (oral),100 h2 2,0.8033057851,80.3,False,,,,,,,,,
25,80909,nokia,benchtop,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False,,,,,,,,,
26,80909,nokia,lightbox,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False,,,,,,,,,
27,80909,nokia,no light,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False,,,,,,,,,
28,80429,nokia,benchtop,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False,,,,,,,,,
29,80429,nokia,lightbox,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False,,,,,,,,,
30,80429,nokia,no light,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False,,,,,,,,,
31,80909,ipad,benchtop,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False,,,,,,,,,
32,80909,ipad,lightbox,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False,,,,,,,,,
33,80909,ipad,no light,white,Hydroxyurea (oral),100 h1 3,0.8416982064,84.2,False,,,,,,,,,
34,80429,ipad,benchtop,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False,,,,,,,,,
35,80429,ipad,lightbox,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False,,,,,,,,,
36,80429,ipad,no light,white,Hydroxyurea (oral),100 h2 3,0.8033057851,80.3,False,,,,,,,,,
37,80908,nokia,benchtop,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False,,,,,,,,,
38,80908,nokia,lightbox,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False,,,,,,,,,
39,80908,nokia,no light,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False,,,,,,,,,
40,80428,nokia,benchtop,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False,,,,,,,,,
41,80428,nokia,lightbox,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False,,,,,,,,,
42,80428,nokia,no light,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False,,,,,,,,,
43,80908,ipad,benchtop,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False,,,,,,,,,
44,80908,ipad,lightbox,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False,,,,,,,,,
45,80908,ipad,no light,white,Hydroxyurea (oral),100 h1 4,0.8416982064,84.2,False,,,,,,,,,
46,80428,ipad,benchtop,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False,,,,,,,,,
47,80428,ipad,lightbox,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False,,,,,,,,,
48,80428,ipad,no light,white,Hydroxyurea (oral),100 h2 4,0.8033057851,80.3,False,,,,,,,,,
49,80907,nokia,benchtop,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False,,,,,,,,,
50,80907,nokia,lightbox,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False,,,,,,,,,
51,80907,nokia,lightbox,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False,,,,,,,,,
52,80907,nokia,no light,black,Hydroxyurea (oral),100 h1 5,0.8033057851,80.3,False,,,,,,,,,
53,80427,nokia,benchtop,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False,,,,,,,,,
54,80427,nokia,lightbox,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False,,,,,,,,,
55,80427,nokia,no light,black,Hydroxyurea (oral),100 h2 5,0.8416982064,84.2,False,,,,,,,,,
56,80907,ipad,benchtop,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False,,,,,,,,,
57,80907,ipad,no light,black,Hydroxyurea (oral),100 h1 5,0.8416982064,84.2,False,,,,,,,,,
58,80427,ipad,benchtop,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False,,,,,,,,,
59,80427,ipad,lightbox,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False,,,,,,,,,
60,80427,ipad,no light,black,Hydroxyurea (oral),100 h2 5,0.8033057851,80.3,False,,,,,,,,,
61,80906,nokia,benchtop,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False,,,,,,,,,
62,80906,nokia,lightbox,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False,,,,,,,,,
63,80906,nokia,no light,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False,,,,,,,,,
64,80426,nokia,benchtop,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False,,,,,,,,,
65,80426,nokia,lightbox,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False,,,,,,,,,
66,80426,nokia,no light,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False,,,,,,,,,
67,80906,ipad,benchtop,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False,,,,,,,,,
68,80906,ipad,lightbox,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False,,,,,,,,,
69,80906,ipad,no light,black,Hydroxyurea (oral),100 h1 6,0.8416982064,84.2,False,,,,,,,,,
70,80426,ipad,benchtop,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False,,,,,,,,,
71,80426,ipad,lightbox,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False,,,,,,,,,
72,80426,ipad,no light,black,Hydroxyurea (oral),100 h2 6,0.8033057851,80.3,False,,,,,,,,,
73,80905,nokia,benchtop,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False,,,,,,,,,
74,80905,nokia,lightbox,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False,,,,,,,,,
75,80905,nokia,no light,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False,,,,,,,,,
76,80425,nokia,benchtop,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False,,,,,,,,,
77,80425,nokia,lightbox,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False,,,,,,,,,
78,80425,nokia,no light,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False,,,,,,,,,
79,80425,nokia,benchtop,black,Hydroxyurea (oral),100 h2 7,0.8416982064,84.2,False,,,,,,,,,
80,80905,ipad,lightbox,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False,,,,,,,,,
81,80905,ipad,no light,black,Hydroxyurea (oral),100 h1 7,0.8416982064,84.2,False,,,,,,,,,
82,80905,ipad,benchtop,black,Hydroxyurea (oral),100 h1 7,0.8033057851,80.3,False,,,,,,,,,
83,80425,ipad,lightbox,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False,,,,,,,,,
84,80425,ipad,no light,black,Hydroxyurea (oral),100 h2 7,0.8033057851,80.3,False,,,,,,,,,
85,80904,nokia,benchtop,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False,,,,,,,,,
86,80904,nokia,lightbox,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False,,,,,,,,,
87,80904,nokia,no light,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False,,,,,,,,,
88,80424,nokia,benchtop,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False,,,,,,,,,
89,80424,nokia,lightbox,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False,,,,,,,,,
90,80424,nokia,no light,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False,,,,,,,,,
91,80904,nokia,benchtop,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False,,,,,,,,,
92,80904,ipad,lightbox,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False,,,,,,,,,
93,80904,nokia,no light,black,Hydroxyurea (oral),100 h1 8,0.8416982064,84.2,False,,,,,,,,,
94,80424,ipad,benchtop,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False,,,,,,,,,
95,80424,ipad,lightbox,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False,,,,,,,,,
96,80424,ipad,no light,black,Hydroxyurea (oral),100 h2 8,0.8033057851,80.3,False,,,,,,,,,
97,80423,nokia,benchtop,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False,,,,,,,,,
98,80423,nokia,lightbox,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False,,,,,,,,,
99,80423,nokia,no light,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False,,,,,,,,,
100,81823,nokia,benchtop,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False,,,,,,,,,
101,81823,nokia,lightbox,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False,,,,,,,,,
102,81823,nokia,no light,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False,,,,,,,,,
103,80423,ipad,benchtop,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False,,,,,,,,,
104,80423,ipad,lightbox,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False,,,,,,,,,
105,80423,ipad,no light,white,Hydroxyurea (oral),100 hydrea 1,0.9020522052,90.2,False,,,,,,,,,
106,81823,ipad,benchtop,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False,,,,,,,,,
107,81823,ipad,lightbox,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False,,,,,,,,,
108,81823,ipad,no light,white,Hydroxyurea (oral),100 micro 1,0.8154976698,81.5,False,,,,,,,,,
109,80783,nokia,benchtop,white,Hydroxyurea (oral),100 hydrea 2,0.9020522052,90.2,False,,,,,,,,,
110,80783,nokia,lightbox,white,Hydroxyurea (oral),100 hydrea 2,0.9020522052,90.2,False,,,,,,,,,
